,,,,North America,,,,,,,,,,,,,,Europe-Africa,,,,,,,,,,,,,,Asia-Pacifc,,,,,,,,,,,,,,Latin America,,,,,,,,,,,,,,
,,,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG

Year 10

,,% Share,,0.2517,0.2199,0.3166,0.2118,,,,,,,,,0.25,,0.248,0.2529,0.2856,0.2134,,,,,,,,,0.25,,0.2662,0.2274,0.2816,0.2248,,,,,,,,,0.25,,0.2859,0.2514,0.2551,0.2076,,,,,,,,,0.25,


,P-Label--------,Price,,31.97,26.8,0,45,,,,,,,,,878,,34.47,32.06,0,44.5,,,,,,,,,878,,28.97,0,0,39.5,,,,,,,,,976,,33.6,32.17,0,40,,,,,,,,,939,
,,S/Q,,5,5,0,5,,,,,,,,,715,,5,5,0,5,,,,,,,,,805,,5,0,0,5,,,,,,,,,616,,5,5,0,5,,,,,,,,,731,
,,Offered,,233,100,0,382,,,,,,,,,715,,234,188,0,383,,,,,,,,,805,,233,0,0,383,,,,,,,,,616,,233,107,0,391,,,,,,,,,731,
,,Sold,,233,100,0,382,,,,,,,,,47.87,,234,188,0,383,,,,,,,,,46.75,,233,0,0,383,,,,,,,,,42.12,,233,107,0,391,,,,,,,,,42.75,
,,% Share,,0.326,0.14,0,0.534,,,,,,,,,5,,0.29068323,0.233540373,0,0.475776398,,,,,,,,,5,,0.378246753,0,0,0.621753247,,,,,,,,,5,,0.31874145,0.146374829,0,0.534883721,,,,,,,,,5,




